                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
               freq_units                   M_star                   R_star                   L_star
UHZ                        0.3729750000000000E+034  0.2293568459160000E+012  0.2324014721020000E+035
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10
                        l                     n_pg                      n_p                      n_g                Re(omega)                Im(omega)            Re(omega_int)            Im(omega_int)                 Re(freq)                 Im(freq)
                        0                        1                        1                        0  0.1671241116678293E+001 -0.1876256124182481E-009  0.1671285937371688E+001 -0.7206256608234029E-010  0.3820619205610112E+002 -0.4289303387259276E-008
                        0                        2                        2                        0  0.3585933709733269E+001 -0.2676281217458552E-008  0.3585963407935504E+001 -0.2614185442612962E-008  0.8197792086806903E+002 -0.6118238306246766E-007
                        0                        3                        3                        0  0.5203129667020484E+001 -0.2157749622755624E-007  0.5203195097366646E+001 -0.2137389464713958E-007  0.1189485881882169E+003 -0.4932824813443741E-006
                        0                        4                        4                        0  0.6722829451300947E+001 -0.1195650343027974E-006  0.6723057295256892E+001 -0.1180265090326436E-006  0.1536903984790246E+003 -0.2733372592487706E-005
                        0                        5                        5                        0  0.8185958836172066E+001 -0.5142470412205624E-006  0.8185893097875597E+001 -0.5029286932093617E-006  0.1871389545990519E+003 -0.1175618588190623E-004
                        0                        6                        6                        0  0.9620708783424677E+001 -0.1900284153031679E-005  0.9620979991651005E+001 -0.1835125290956155E-005  0.2199387292636230E+003 -0.4344233790525480E-004
                        1                       -3                        0                        3  0.2049918079308655E+000  0.2313800289756741E-008  0.2044280759592896E+000  0.1502657472245395E-008  0.4686311451755443E+001  0.5289571766018569E-007
                        1                       -2                        0                        2  0.3602123625478775E+000  0.9950174875465043E-009  0.3608493250463956E+000  0.2440620470831490E-009  0.8234803803678393E+001  0.2274706435175555E-007
                        1                        2                        1                        0  0.2601128789944568E+001  0.1174212836449961E-007  0.2601149222295485E+001  0.1324136067472851E-007  0.5946432571548930E+002  0.2684364374262953E-006
                        1                        2                        1                        0  0.4300026263153625E+001  0.6854812086795819E-007  0.4300166418125359E+001  0.6886428120790260E-007  0.9830276889241402E+002  0.1567076494725915E-005
                        1                        3                        2                        0  0.5873821684404957E+001  0.1060112415505396E-006  0.5874284708161270E+001  0.1069071489334105E-006  0.1342812578855827E+003  0.2423519750899777E-005
                        1                        4                        3                        0  0.7375415617044431E+001  0.9264533357651162E-007  0.7376909319101959E+001  0.9627606740247025E-007  0.1686091508557647E+003  0.2117962137480800E-005
                        1                        5                        4                        0  0.8835209946872411E+001 -0.3082010507676660E-006  0.8838576936732053E+001 -0.2930493589458450E-006  0.2019814643844483E+003 -0.7045774795755155E-005
                        2                       -5                        0                        5  0.1663259637626840E+000  0.8601271890509286E-008  0.1680172208060290E+000  0.7815805204656682E-008  0.3802372770760683E+001  0.1966334136325585E-006
                        2                       -4                        0                        4  0.2116391366668694E+000  0.5475665759394723E-008  0.2113761520766992E+000  0.4638148137759061E-008  0.4838275830691132E+001  0.1251790274608966E-006
                        2                       -3                        0                        3  0.2879269733395805E+000  0.3089742622354419E-008  0.2879681591066324E+000  0.2302746808268851E-008  0.6582289731722467E+001  0.7063451159472523E-007
                        2                       -2                        0                        2  0.4489468811559750E+000  0.1403354775002493E-008  0.4496691383375084E+000  0.6791791978694499E-009  0.1026336091977240E+002  0.3208205059193314E-007
                        2                       -1                        0                        1  0.1485577915619649E+001 -0.3527660859681287E-007  0.1485598401498728E+001 -0.3419703169949440E-007  0.3396175129491649E+002 -0.8064574702521414E-006
                        2                        1                        1                        0  0.3253729204144601E+001  0.8314444721373742E-007  0.3253605611134348E+001  0.8400859789513907E-007  0.7438340382575885E+002  0.1900762664911087E-005
                        2                        2                        2                        0  0.4901880843099353E+001  0.9581651644066338E-007  0.4901813537467395E+001  0.9615389239021072E-007  0.1120617480377775E+003  0.2190458451952532E-005
                        2                        3                        3                        0  0.6459200829960367E+001  0.1424727166094877E-006  0.6459408622883154E+001  0.1437826960058650E-006  0.1476635926292244E+003  0.3257064417105514E-005
                        2                        4                        4                        0  0.7955140724997652E+001  0.6576376075665256E-007  0.7955775141647402E+001  0.7112238105631737E-007  0.1818622288187026E+003  0.1503423323376632E-005
                        2                        5                        5                        0  0.9417494817943643E+001 -0.7179526455665522E-006  0.9419867332583088E+001 -0.6953646264646951E-006  0.2152930610137407E+003 -0.1641309347284434E-004
