                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
               freq_units                   M_star                   R_star                   L_star
UHZ                        0.3998292000000000E+034  0.2338709223270000E+012  0.2215949541930000E+035
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10
                        l                     n_pg                      n_p                      n_g                Re(omega)                Im(omega)            Re(omega_int)            Im(omega_int)                 Re(freq)                 Im(freq)
                        0                        1                        1                        0  0.1671180382636080E+001 -0.1671935389923774E-009  0.1671219578126244E+001 -0.5219113826477231E-010  0.3841656969948178E+002 -0.3843392556985500E-008
                        0                        2                        2                        0  0.3581750895193606E+001 -0.2316510433453686E-008  0.3581774134327642E+001 -0.2260575569619650E-008  0.8233616451046514E+002 -0.5325121420224894E-007
                        0                        3                        3                        0  0.5198044945368970E+001 -0.1880554388473793E-007  0.5198016410583374E+001 -0.1866302602114099E-007  0.1194910244397544E+003 -0.4322959357894873E-006
                        0                        4                        4                        0  0.6718615302230389E+001 -0.1041535420534678E-006  0.6718621052629182E+001 -0.1032277138271808E-006  0.1544454181750314E+003 -0.2394248908925988E-005
                        0                        5                        5                        0  0.8182632045317398E+001 -0.4470171511969301E-006  0.8182013115797051E+001 -0.4404503557403995E-006  0.1880997752009886E+003 -0.1027588985859957E-004
                        0                        6                        6                        0  0.9617928187674616E+001 -0.1631899023104476E-005  0.9617011099933368E+001 -0.1595066169977227E-005  0.2210939120788331E+003 -0.3751358214528612E-004
                        1                       -4                        0                        4  0.1532464091072109E+000  0.3463526096278761E-008  0.1542944017542055E+000  0.2829749839058965E-008  0.3522780316135671E+001  0.7961844996874988E-007
                        1                       -3                        0                        3  0.2210150969586729E+000  0.1837414513106149E-008  0.2202392655921541E+000  0.1205108575861731E-008  0.5080625625557932E+001  0.4223790767471745E-007
                        1                       -1                        0                        1  0.3855064781382784E+000  0.7709796451053309E-009  0.3862430864759976E+000  0.2015218668080694E-009  0.8861901827521596E+001  0.1772303790830246E-007
                        1                        1                        0                        0  0.2596871384911576E+001 -0.3786060237009218E-009  0.2596894480768226E+001 -0.2894801927910159E-009  0.5969606368983442E+002 -0.8703276348425999E-008
                        1                        2                        1                        0  0.4294254238184051E+001 -0.5557482332547580E-008  0.4294396214809505E+001 -0.5472925750493829E-008  0.9871496755381486E+002 -0.1277536581928898E-006
                        1                        3                        2                        0  0.5868749974998384E+001 -0.4003422587427882E-007  0.5869174007535472E+001 -0.3972097491392702E-007  0.1349089809848811E+003 -0.9202942091972499E-006
                        1                        4                        3                        0  0.7372840061514195E+001 -0.2025796510331059E-006  0.7374331007380747E+001 -0.2002514542521290E-006  0.1694845314420917E+003 -0.4656837385401935E-005
                        1                        5                        4                        0  0.8833821537829461E+001 -0.8135547313855809E-006  0.8836966622452957E+001 -0.7987657659123190E-006  0.2030691147089115E+003 -0.1870174061839934E-004
                        2                       -5                        0                        5  0.1797711111246609E+000  0.6908345522812483E-008  0.1819595290714193E+000  0.6333361171081383E-008  0.4132521834405548E+001  0.1588068768893762E-006
                        2                       -4                        0                        4  0.2286817189542904E+000  0.4390823167342088E-008  0.2282016670117831E+000  0.3750551274750285E-008  0.5256863523820980E+001  0.1009348637639129E-006
                        2                       -3                        0                        3  0.3106711840953074E+000  0.2471587490641465E-008  0.3107173606036630E+000  0.1870812832182294E-008  0.7141611594669420E+001  0.5681607688143356E-007
                        2                       -1                        0                        1  0.4826073786556248E+000  0.1122948127872418E-008  0.4834216886100560E+000  0.5715557381865556E-009  0.1109402682812926E+002  0.2581397883289271E-007
                        2                        0                        0                        0  0.1487457574667814E+001  0.1903927897260783E-008  0.1487475307001054E+001  0.1905428621500049E-008  0.3419320749930785E+002  0.4376689645706203E-007
                        2                        1                        1                        0  0.3250779421217780E+001 -0.5715665533162679E-009  0.3250631277586240E+001 -0.5048938554549614E-009  0.7472789622857177E+002 -0.1313899239215071E-007
                        2                        2                        2                        0  0.4897743480050447E+001 -0.1099914412373949E-007  0.4897610680723695E+001 -0.1087029076082646E-007  0.1125877886830804E+003 -0.2528448701616305E-006
                        2                        3                        3                        0  0.6456073063292809E+001 -0.7429128096983578E-007  0.6456143933242950E+001 -0.7357625596969115E-007  0.1484101796538048E+003 -0.1707784631207568E-005
                        2                        4                        4                        0  0.7953864390299051E+001 -0.3533134885158637E-006  0.7954238279953873E+001 -0.3482275777811553E-006  0.1828409362059206E+003 -0.8121859494261689E-005
                        2                        5                        5                        0  0.9417154359282176E+001 -0.1363721746112619E-005  0.9418869667621982E+001 -0.1334006864006502E-005  0.2164785863770656E+003 -0.3134880713929661E-004
