                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      2.0099999999999998E+000      2.9999999999999999E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.0000000000000001E-005                  2.0099999999999998E+000                 -4.9999999999999991E+000                  3.3601874507980675E+001                 -9.8999999999999986E+001                                      528                  1.3604307070852074E-004                  4.7217344097823288E-001                  1.7185748057208631E-003                  9.4046354175495717E-001                  4.8316614288240595E-001                  4.7217344097823288E-001                  1.7185748057208631E-003                  9.4046354175495717E-001                  4.8316614288240595E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1169784273491402E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1169784273491402E+001                  3.6391184786807873E+000                  1.0704853243975247E+003                  3.0295807177987317E+000                  1.7598122379904173E+000                  1.2214609348527792E+000                  1.6651790368190035E+001                  5.4783583174623214E+000                 -3.8888022382025023E+000                  9.7150911730756349E+000                  6.2225510096685333E-001                  8.5000478890566522E-001                  1.2998301937971806E+000                  6.9999999999999996E-001                  2.6997126656600784E-001                  5.1624159162180607E-003                  1.4040669913709962E-002                  5.1624159162180615E-003                  1.4040669913709961E-002                  1.4069999999999998E+000                  5.4264224579767595E-001                 -2.1169784273491402E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.4218646283111809E-001                                        0                                        0 
                                       5                  7.4416000000000000E-005                  2.0099999999999998E+000                 -4.6832750158095005E+000                  3.3601874507980675E+001                 -9.8999999999999986E+001                                      527                  1.3603798066460617E-004                  4.7217344097823288E-001                  1.7185748278214367E-003                  9.4046354175495717E-001                  4.8316613196256070E-001                  4.7217344097823288E-001                  1.7185748278214367E-003                  9.4046354175495717E-001                  4.8316613196256070E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1169779888796292E+001                 -9.8999999999999986E+001                 -3.7026689466669680E+001                 -2.1169779888796292E+001                  3.6367927522231209E+000                  1.0472013530550041E+003                  3.0200301946809178E+000                  1.7596884293468442E+000                  1.2217085521399256E+000                  1.6661287258006229E+001                  5.4783584381713197E+000                 -3.8888015605745814E+000                  9.7150919696157825E+000                  6.2225510053767907E-001                  8.5000478890566522E-001                  1.2998301937971806E+000                  6.9999999999999996E-001                  2.6997126656600784E-001                  5.1624159162180607E-003                  1.4040669913709962E-002                  5.1624159162180615E-003                  1.4040669913709961E-002                  1.4069999999999998E+000                  5.4264224579767595E-001                 -2.1169779888796292E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.3834950874245517E-001                                        0                                        0 
                                      10                  2.5958682111999992E-004                  2.0099999999999998E+000                 -4.2873687855713767E+000                  3.3601874507980675E+001                 -9.8999999999999986E+001                                      529                  1.3602019137744944E-004                  4.7217344097823288E-001                  1.7185748902676374E-003                  9.4046354175495717E-001                  4.8316612571234541E-001                  4.7217344097823288E-001                  1.7185748902676374E-003                  9.4046354175495717E-001                  4.8316612571234541E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1169767427860034E+001                 -9.8999999999999986E+001                 -3.6725659471005699E+001                 -2.1169767427860034E+001                  3.6311679203362388E+000                  9.9287306051379971E+002                  2.9968937272039513E+000                  1.7593698593821243E+000                  1.2223456920693654E+000                  1.6685748453179809E+001                  5.4783589354608297E+000                 -3.8887998445001686E+000                  9.7150941820082242E+000                  6.2225509904629461E-001                  8.5000478890566522E-001                  1.2998301937971806E+000                  6.9999999999999996E-001                  2.6997126656600784E-001                  5.1624159162180607E-003                  1.4040669913709962E-002                  5.1624159162180615E-003                  1.4040669913709961E-002                  1.4069999999999998E+000                  5.4264224579767595E-001                 -2.1169767427860034E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1421315819326858E-001                                        0                                        0 
                                      15                  7.2035107872931792E-004                  2.0099999999999998E+000                 -3.8914625553332525E+000                  3.3601874507980675E+001                 -9.8999999999999986E+001                                      528                  1.3595273889114269E-004                  4.7217344097823288E-001                  1.7185750462349971E-003                  9.4046354175495717E-001                  4.8316612197859843E-001                  4.7217344097823288E-001                  1.7185750462349971E-003                  9.4046354175495717E-001                  4.8316612197859843E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1169737740449651E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1169737740449651E+001                  3.6213165737096658E+000                  9.0416484579136738E+002                  2.9562476175228505E+000                  1.7587494977947196E+000                  1.2235864152441747E+000                  1.6733485635834640E+001                  5.4783605383454264E+000                 -3.8887963058947195E+000                  9.7150993322811594E+000                  6.2225509475186946E-001                  8.5000478890566522E-001                  1.2998301937971806E+000                  6.9999999999999996E-001                  2.6997126656600784E-001                  5.1624159162180607E-003                  1.4040669913709962E-002                  5.1624159162180615E-003                  1.4040669913709961E-002                  1.4069999999999998E+000                  5.4264224579767595E-001                 -2.1169737740449651E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1686895688528367E-001                                        0                                        0 
                                      20                  1.8668799962237360E-003                  2.0099999999999998E+000                 -3.4955563250951283E+000                  3.3601874507980675E+001                 -9.8999999999999986E+001                                      525                  1.3559846440496840E-004                  9.4046354175495717E-001                  2.4078319067462662E-004                  9.9534865031705289E-001                  9.7709662513386508E-001                  9.4046354175495717E-001                  2.4078319067462662E-004                  9.9534865031705289E-001                  9.7709662513386508E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1169672611707931E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1169672611707931E+001                  3.6082523002599634E+000                  7.9811706106526617E+002                  2.9020665946667603E+000                  1.7577875332660793E+000                  1.2255103443014552E+000                  1.6807779590675597E+001                  5.4783645255771178E+000                 -3.8887894373622385E+000                  9.7151102214554719E+000                  6.2225508456721579E-001                  8.5000478890566522E-001                  1.2998301937971806E+000                  6.9999999999999996E-001                  2.6997126656600784E-001                  5.1624159162180607E-003                  1.4040669913709962E-002                  5.1624159162180615E-003                  1.4040669913709961E-002                  1.4069999999999998E+000                  5.4264224579767595E-001                 -2.1169672611707931E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.0669824953930247E-001                                        0                                        0 
                                      25                  4.7198108322034464E-003                  2.0099999999999998E+000                 -3.0996500948570045E+000                  3.3601874507980675E+001                 -9.8999999999999986E+001                                      524                  1.3294687703409029E-004                  9.4215316013233452E-001                  2.4081166253754065E-004                  9.9578459987161194E-001                  9.7564224646820497E-001                  9.4215316013233452E-001                  2.4081166253754065E-004                  9.9578459987161194E-001                  9.7564224646820497E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1169542390934442E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1169542390934442E+001                  3.5935180054317346E+000                  6.9300842190671744E+002                  2.8407385124839415E+000                  1.7565920818311278E+000                  1.2279012471713584E+000                  1.6900565914028412E+001                  5.4783727748215494E+000                 -3.8887764571571086E+000                  9.7151315273832495E+000                  6.2225506381455786E-001                  8.5000478890566522E-001                  1.2998301937971806E+000                  6.9999999999999996E-001                  2.6997126656600784E-001                  5.1624159162180607E-003                  1.4040669913709962E-002                  5.1624159162180615E-003                  1.4040669913709961E-002                  1.4069999999999998E+000                  5.4264224579767595E-001                 -2.1169542390934442E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3330980991452049E-001                                        0                                        0 
                                      30                  1.1818815689988476E-002                  2.0099999999999998E+000                 -2.7037438646188803E+000                  3.3601874507980675E+001                 -9.8999999999999986E+001                                      525                  1.0810116693582099E-004                  9.4379893473648824E-001                  2.4117471875949193E-004                  9.9618073600630452E-001                  9.7329663766584307E-001                  9.4379893473648824E-001                  2.4117471875949193E-004                  9.9618073600630452E-001                  9.7329663766584307E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1169308536817287E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1169308536817287E+001                  3.5835869673310943E+000                  6.3001760338393717E+002                  2.7993526842880261E+000                  1.7557612439344514E+000                  1.2295629229647109E+000                  1.6965353877992072E+001                  5.4783877575773037E+000                 -3.8887533654012949E+000                  9.7151697436914795E+000                  6.2225502625408435E-001                  8.5000478890566522E-001                  1.2998301937971806E+000                  6.9999999999999996E-001                  2.6997126656600784E-001                  5.1624159162180607E-003                  1.4040669913709962E-002                  5.1624159162180615E-003                  1.4040669913709961E-002                  1.4069999999999998E+000                  5.4264224579767595E-001                 -2.1169308536817287E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.9286355863051127E-002                                        0                                        0 
                                      35                  2.9483411457712123E-002                  2.0099999999999998E+000                 -2.3078376343807565E+000                  3.3601874507980675E+001                 -9.8999999999999986E+001                                      523                  7.8075026120721377E-005                  9.4696294515663271E-001                  2.4098428699800191E-004                  9.9654057715404665E-001                  9.7074016353565884E-001                  9.4696294515663271E-001                  2.4098428699800191E-004                  9.9654057715404665E-001                  9.7074016353565884E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1168903508121659E+001                 -9.8999999999999986E+001                 -3.6725659471005699E+001                 -2.1168903508121659E+001                  3.5802001020573750E+000                  6.0910291006020725E+002                  2.7846906743989273E+000                  1.7552039695373398E+000                  1.2306774717589342E+000                  1.7008948718346577E+001                  5.4784139787026662E+000                 -3.8887130875991276E+000                  9.7152364915839193E+000                  6.2225496057737761E-001                  8.5000478890566522E-001                  1.2998301937971806E+000                  6.9999999999999996E-001                  2.6997126656600784E-001                  5.1624159162180607E-003                  1.4040669913709962E-002                  5.1624159162180615E-003                  1.4040669913709961E-002                  1.4069999999999998E+000                  5.4264224579767595E-001                 -2.1168903508121659E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1954593115892186E-002                                        0                                        0 
                                      40                  7.3438578398454205E-002                  2.0099999999999998E+000                 -1.9119314041426323E+000                  3.3601874507980675E+001                 -9.8999999999999986E+001                                      525                  7.7176522158108724E-005                  9.4996334939756766E-001                  2.4080009909312251E-004                  9.9676190930486741E-001                  9.6983827621463292E-001                  9.4996334939756766E-001                  2.4080009909312251E-004                  9.9676190930486741E-001                  9.6983827621463292E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1168223834291915E+001                 -9.8999999999999986E+001                 -3.6725659471005699E+001                 -2.1168223834291915E+001                  3.5774720570029683E+000                  5.9134838672064996E+002                  2.7718434163338252E+000                  1.7542364306136033E+000                  1.2326125496064073E+000                  1.7084904266074016E+001                  5.4784601406603910E+000                 -3.8886421988936348E+000                  9.7153539806732017E+000                  6.2225484502997319E-001                  8.5000478890566522E-001                  1.2998301937971806E+000                  6.9999999999999996E-001                  2.6997126656600784E-001                  5.1624159162180607E-003                  1.4040669913709962E-002                  5.1624159162180607E-003                  1.4040669913709961E-002                  1.4069999999999998E+000                  5.4264224579767595E-001                 -2.1168223834291915E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.6856509539056598E-003                                        0                                        0 
