                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      1.3999999999999999E+000      2.7000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.0000000000000001E-005                  1.3999999999999999E+000                 -4.9999999999999991E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                                      549                  9.4635907860486458E-005                  9.2866451495423741E-001                  4.0251927333879689E-001                  3.5381695678832631E-001                  2.4039024016905513E-004                  9.2866451495423741E-001                  4.0251927333879689E-001                  3.5381695678832631E-001                  2.4039024016905513E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1053785695986178E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1053785695986178E+001                  3.6040195647207756E+000                  3.9692179953748979E+002                  2.5987049516631537E+000                  1.6145721828426516E+000                  1.3548730234060600E+000                  2.2639822803290429E+001                  5.4782630451251171E+000                 -3.5957392810456876E+000                  1.0001086570095625E+001                  6.3035460527572285E-001                  8.4150514363941864E-001                  1.3207447860009323E+000                  6.8300000000000005E-001                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.2636602922338914E-002                  4.6461743245962356E-003                  1.2636602922338914E-002                  9.5619999999999994E-001                  4.0595679342888535E-001                 -2.1053785695986178E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.9336166420442702E-001                                        0                                        0 
                                       5                  7.4416000000000000E-005                  1.3999999999999999E+000                 -4.6832750158095005E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                                      548                  9.4635641522718944E-005                  9.2866451495423741E-001                  4.0251924460473187E-001                  3.5381695678832631E-001                  2.4039025194492358E-004                  9.2866451495423741E-001                  4.0251924460473187E-001                  3.5381695678832631E-001                  2.4039025194492358E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1053783736202377E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1053783736202377E+001                  3.6012248207921314E+000                  3.8659996122109709E+002                  2.5872618061295118E+000                  1.6144400979331199E+000                  1.3551371932251233E+000                  2.2653598196439454E+001                  5.4782623341803145E+000                 -3.5957381370271482E+000                  1.0001086987365248E+001                  6.3035460713051905E-001                  8.4150514363941864E-001                  1.3207447860009323E+000                  6.8300000000000005E-001                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.2636602922338914E-002                  4.6461743245962356E-003                  1.2636602922338914E-002                  9.5619999999999994E-001                  4.0595679342888535E-001                 -2.1053783736202377E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.5173818039912090E-001                                        0                                        0 
                                      10                  2.5958682111999992E-004                  1.3999999999999999E+000                 -4.2873687855713767E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                                      550                  9.4634720125341684E-005                  9.2866451495423741E-001                  4.0251922887158881E-001                  3.6001195472893149E-001                  2.4039028876913219E-004                  9.2866451495423741E-001                  4.0251922887158881E-001                  3.6001195472893149E-001                  2.4039028876913219E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1053778052041750E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1053778052041750E+001                  3.5945222090512696E+000                  3.6286350865563242E+002                  2.5597432956010926E+000                  1.6140860661506338E+000                  1.3558452567900956E+000                  2.2690562217511893E+001                  5.4782610734468458E+000                 -3.5957356685314674E+000                  1.0001088165081034E+001                  6.3035461048987995E-001                  8.4150514363941864E-001                  1.3207447860009323E+000                  6.8300000000000005E-001                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.2636602922338914E-002                  4.6461743245962356E-003                  1.2636602922338914E-002                  9.5619999999999994E-001                  4.0595679342888535E-001                 -2.1053778052041750E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.1221369313590501E-001                                        0                                        0 
                                      15                  7.2035107872931792E-004                  1.3999999999999999E+000                 -3.8914625553332525E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                                      549                  9.4631290235964503E-005                  9.2866451495423719E-001                  4.0251922363842785E-001                  3.6001195472893127E-001                  2.4039040288200810E-004                  9.2866451495423719E-001                  4.0251922363842785E-001                  3.6001195472893127E-001                  2.4039040288200810E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1053764081838768E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1053764081838768E+001                  3.5825193498012720E+000                  3.2381001438883135E+002                  2.5102902759385257E+000                  1.6133652748193457E+000                  1.3572868394526720E+000                  2.2766005658209995E+001                  5.4782601539599085E+000                 -3.5957319541326855E+000                  1.0001090929284937E+001                  6.3035461324517528E-001                  8.4150514363941864E-001                  1.3207447860009323E+000                  6.8300000000000005E-001                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.2636602922338914E-002                  4.6461743245962356E-003                  1.2636602922338914E-002                  9.5619999999999994E-001                  4.0595679342888535E-001                 -2.1053764081838768E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6631171141501709E-001                                        0                                        0 
                                      20                  1.8668799962237360E-003                  1.3999999999999999E+000                 -3.4955563250951283E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                                      546                  9.4613692543324171E-005                  9.2866451495423696E-001                  3.9654308813801692E-001                  3.6617766502924326E-001                  2.4039085906292937E-004                  9.2866451495423696E-001                  3.9654308813801692E-001                  3.6617766502924326E-001                  2.4039085906292937E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1053732554929557E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1053732554929557E+001                  3.5661789065965936E+000                  2.7713292828551346E+002                  2.4426881307013333E+000                  1.6122450886101061E+000                  1.3595272118711510E+000                  2.2883750912859870E+001                  5.4782610294858491E+000                 -3.5957269469883073E+000                  1.0001096801939417E+001                  6.3035461198337739E-001                  8.4150514363941864E-001                  1.3207447860009323E+000                  6.8300000000000005E-001                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.2636602922338914E-002                  4.6461743245962356E-003                  1.2636602922338914E-002                  9.5619999999999994E-001                  4.0595679342888535E-001                 -2.1053732554929557E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.6601550754424286E-001                                        0                                        0 
                                      25                  4.7198108322034464E-003                  1.3999999999999999E+000                 -3.0996500948570045E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                                      542                  9.4484114519934672E-005                  9.2866451495423719E-001                  3.9053384915025363E-001                  3.7231337225177780E-001                  2.4039347885970234E-004                  9.2866451495423719E-001                  3.9053384915025363E-001                  3.7231337225177780E-001                  2.4039347885970234E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1053665385509710E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1053665385509710E+001                  3.5476161456419422E+000                  2.3215322418885668E+002                  2.3657747196097980E+000                  1.6109139049736407E+000                  1.3621895791440817E+000                  2.3024466669527957E+001                  5.4782649006192807E+000                 -3.5957194404308623E+000                  1.0001108202575104E+001                  6.3035460407114252E-001                  8.4150514363941864E-001                  1.3207447860009323E+000                  6.8300000000000005E-001                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.2636602922338914E-002                  4.6461743245962356E-003                  1.2636602922338914E-002                  9.5619999999999994E-001                  4.0595679342888535E-001                 -2.1053665385509710E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2454565945328412E-001                                        0                                        0 
                                      30                  1.1818815689988476E-002                  1.3999999999999999E+000                 -2.7037438646188803E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                                      542                  9.3199811319403478E-005                  9.3065378439238533E-001                  2.4041518517340006E-004                  9.9468921376653507E-001                  9.6948801706068533E-001                  9.3065378439238533E-001                  2.4041518517340006E-004                  9.9468921376653507E-001                  9.6948801706068533E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1053534158394832E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1053534158394832E+001                  3.5296518928787886E+000                  1.9568508487173486E+002                  2.2915577249694161E+000                  1.6097339131797577E+000                  1.3645495627318476E+000                  2.3149923634425818E+001                  5.4782728518395611E+000                 -3.5957068440622577E+000                  1.0001128810257452E+001                  6.3035458736696792E-001                  8.4150514363941864E-001                  1.3207447860009323E+000                  6.8300000000000005E-001                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.2636602922338914E-002                  4.6461743245962356E-003                  1.2636602922338914E-002                  9.5619999999999994E-001                  4.0595679342888535E-001                 -2.1053534158394832E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.2910476608014378E-002                                        0                                        0 
                                      35                  2.9483411457712123E-002                  1.3999999999999999E+000                 -2.3078376343807565E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                                      541                  7.8507211945392401E-005                  9.3259261752301825E-001                  2.4065126425863094E-004                  9.9518344329772823E-001                  9.6659909820218559E-001                  9.3259261752301825E-001                  2.4065126425863094E-004                  9.9518344329772823E-001                  9.6659909820218559E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1053293738372240E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1053293738372240E+001                  3.5169539709050843E+000                  1.7345123533801072E+002                  2.2391773972802453E+000                  1.6089395932825807E+000                  1.3661382025262017E+000                  2.3234760624262066E+001                  5.4782875203138568E+000                 -3.5956843637770448E+000                  1.0001166073358162E+001                  6.3035455642056804E-001                  8.4150514363941864E-001                  1.3207447860009323E+000                  6.8300000000000005E-001                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.2636602922338914E-002                  4.6461743245962356E-003                  1.2636602922338914E-002                  9.5619999999999994E-001                  4.0595679342888535E-001                 -2.1053293738372240E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0128410675730230E-002                                        0                                        0 
                                      40                  7.3438578398454205E-002                  1.3999999999999999E+000                 -1.9119314041426323E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                                      543                  5.4314044881460204E-005                  9.3632343138630791E-001                  2.4366586326698709E-004                  9.9577341222213023E-001                  9.6453353059124280E-001                  9.3632343138630791E-001                  2.4366586326698709E-004                  9.9577341222213023E-001                  9.6453353059124280E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1052873010849478E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1052873010849478E+001                  3.5123729599294249E+000                  1.6588608879681297E+002                  2.2198099676271563E+000                  1.6084179004073547E+000                  1.3671815882766536E+000                  2.3290648884404348E+001                  5.4783134868463845E+000                 -3.5956447307241945E+000                  1.0001231876097034E+001                  6.3035450158173179E-001                  8.4150514363941864E-001                  1.3207447860009323E+000                  6.8300000000000005E-001                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.2636602922338914E-002                  4.6461743245962356E-003                  1.2636602922338914E-002                  9.5619999999999994E-001                  4.0595679342888535E-001                 -2.1052873010849478E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.7129836136628085E-003                                        0                                        0 
