                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7
                        l                     n_pg                      n_p                      n_g                 Re(freq)                 Im(freq)                   E_norm
                        0                        1                        1                        0  0.2090338849151652E+001  0.0000000000000000E+000  0.1534741707798020E+000
                        0                        2                        2                        0  0.4495309144550003E+001  0.0000000000000000E+000  0.7689426677988300E-002
                        0                        3                        3                        0  0.6488204736297001E+001  0.0000000000000000E+000  0.1076766243286632E-002
                        0                        4                        4                        0  0.8345877443136031E+001  0.0000000000000000E+000  0.2203441542307964E-003
                        0                        5                        5                        0  0.1014566510345107E+002  0.0000000000000000E+000  0.5263769728917511E-004
                        0                        6                        6                        0  0.1187403549689272E+002  0.0000000000000000E+000  0.1298532862759494E-004
                        0                        7                        7                        0  0.1349129632715652E+002  0.0000000000000000E+000  0.3898139673463079E-005
                        0                        8                        8                        0  0.1507344250927124E+002  0.0000000000000000E+000  0.1599809499733597E-005
                        0                        9                        9                        0  0.1667648245715942E+002  0.0000000000000000E+000  0.7321026362789437E-006
                        0                       10                       10                        0  0.1825160555740917E+002  0.0000000000000000E+000  0.3574229419944428E-006
                        0                       11                       11                        0  0.1980898417179508E+002  0.0000000000000000E+000  0.2094270591563799E-006
